0,3681 -936 0.0127682695 0 0 0 0 30 0 0 900.37 2223 47 0 0 0 46 0 0 1
0,3681 -120 0.0901928824 0 0 0 0 0 0 0 25011.26 2712 332 220 0 0 110 0 0 2
1,3575 0 0.1485314685 0 0 0 0 150 0 0 13429.662 2495 531 373 0 0 158 0 0 0
0,3681 0 0.0021733225 0 0 0 0 150 0 0 1177.75 2691 8 0 0 0 8 0 0 0
0,3681 0 0.0986145069 0 0 0 0 150 0 0 33938.75 2691 363 269 0 0 94 0 0 0
1,3550 0 0.0507042254 0 1065 0 0 500 0 0 4277.15 2485 180 0 25 0 154 0 0 1
1,3575 0 0.1345454545 -86.25 0 0 0 150 0 0 12426.22 2397 481 1 0 0 476 0 0 3
1,3482 0 0.0367604825 0 0 0 0 150 0 0 10929.67 2426 128 93 0 0 34 0 1 0
0,3681 0 0.0665580005 0 0 0 0 150 0 0 10606.41 2691 245 192 0 0 50 0 0 3
1,3468 0 0.1686851211 0 0 0 0 150 0 0 16710.26 2348 585 461 0 0 122 0 1 1
1,3512 0 0.1497722096 0 0 0 0 150 0 0 27525.6 2397 526 6 0 0 518 0 0 2
0,3681 0 0.0690029883 -352.5 0 0 0 150 0 0 9117.88 2623 254 0 0 0 249 0 0 5
0,3681 0 0 0 0 0 0 0 0 0 0 2652 0 0 0 0 0 0 0 0
0,3681 0 0.2488454224 0 0 0 0 375 0 0 30974.72 2691 916 0 0 0 914 0 0 2
1,3432 0 0.0626456876 0 0 0 0 150 0 0 5136.45 2299 215 0 0 0 213 0 0 2
1,3631 0 0.0201046544 0 0 0 0 0 0 0 491.63 2671 73 14 0 0 57 0 0 2
0,3681 -936 0.0249932084 0 0 0 0 150 0 0 1242 2769 92 55 0 0 37 0 0 0
1,3379 0 0.0553418171 0 3871 0 0 150 0 0 5355.92 2201 187 130 42 0 15 0 0 0
0,3681 -60 0.0671013312 0 0 0 0 150 0 0 8916.25 2790 247 106 0 0 138 0 0 3
0,3681 0 0.017658245 0 0 0 0 150 0 0 1373.93 2535 65 54 0 0 10 0 0 1
0,3681 0 0.1140994295 0 305 0 0 290 0 0 20789.82 2691 420 203 1 0 215 0 0 1
0,3681 0 0.032599837 0 0 0 0 150 0 0 6943.89 2691 120 1 0 0 118 0 0 1
1,3651 -160 0.1095590249 -2284.3 0 0 0 150 0 0 22079.81 2908 400 287 0 0 109 0 0 4
1,3483 0 0.0976169968 -55 0 0 0 430 0 0 11002.5 2387 340 168 0 0 166 0 0 6
0,3681 0 0.0021733225 0 0 0 0 150 0 0 290.25 2730 8 0 0 0 8 0 0 0
0,3681 0 0.0671013312 0 0 0 0 150 0 0 12415.68 2769 247 0 0 0 247 0 0 0
0,3681 0 0.029068188 0 0 0 0 0 0 0 2372.3 2574 107 12 0 0 95 0 0 0
0,3681 0 0.0418364575 0 0 0 0 150 0 0 4024.83 2446 154 93 0 0 61 0 0 0
0,3681 0 0.0073349633 0 0 0 0 150 0 0 786.15 2437 27 0 0 0 26 0 0 1
